Date;Open;High;Low;Close;Adj Close;Volume
29/10/18;54,029999;54,389999;52,599998;53,099998;38,642982;26198300
30/10/18;53,599998;54,849998;52,959999;53,869999;39,203342;23799200
31/10/18;54,349998;56,709999;54,27;56,709999;41,270123;26626000
01/11/18;56,75;58,259998;55,52;57,5;41,845047;20420000
05/11/18;57,610001;58;57,040001;57,529999;41,866875;15491800
06/11/18;57;57,849998;56,560001;57,23;41,648552;11211000
07/11/18;57,790001;58,150002;57,400002;57,59;41,910542;12982500
08/11/18;57,779999;58,77;57,02;57,02;41,495728;16743700
09/11/18;56,5;57;54,130001;54,650002;39,770985;29209700
12/11/18;55,099998;55,450001;54,400002;54,849998;39,916527;15985200
13/11/18;54,900002;56,27;54,349998;56,27;40,949924;18790200
14/11/18;55,209999;55,669998;54,25;55,16;40,142128;28360900
16/11/18;55,849998;56,349998;55,150002;56,150002;40,862595;19633700
19/11/18;56,150002;56,279999;54,810001;55,369999;40,29496;12979700
21/11/18;54,150002;54,549999;53,709999;54,529999;39,683655;18590600
22/11/18;54,689999;54,720001;53,75;54,040001;39,327061;9255400
23/11/18;53,389999;53,389999;50,349998;50,349998;36,641701;33531500
26/11/18;49,950001;51,09;49;50,119999;36,474319;30327300
27/11/18;49,689999;50,490002;49,099998;49,919998;36,328773;25582700
28/11/18;50,5;52,32;50,220001;52,299999;38,060795;29038300
29/11/18;51,919998;52,73;51,130001;52;37,842472;23362000
30/11/18;51,560001;53,689999;51,560001;52,799999;38,424667;29502000
03/12/18;55,599998;55,68;53,740002;54,110001;39,378006;32418200
04/12/18;54,349998;54,52;52,5;52,880001;38,482883;26844200
05/12/18;53,299999;53,48;52,43;52,799999;38,424667;9656100
06/12/18;51,700001;52,599998;51,07;52,299999;38,060795;21376400
07/12/18;52,48;53,259998;51,09;51,290001;37,325771;19472100
10/12/18;51,119999;51,639999;50,189999;50,200001;36,532543;14331300
11/12/18;51,150002;51,740002;50,25;50,599998;36,823635;19443900
12/12/18;51,150002;51,400002;50,349998;50,369999;36,656254;15808900
13/12/18;50,849998;51,279999;50,25;50,599998;36,823635;15149000
14/12/18;50,380001;51,189999;49,849998;50,880001;37,027405;16910700
17/12/18;51,900002;52,27;51,029999;51,25;37,296665;21401300
18/12/18;51,349998;52,189999;51,349998;51,439999;37,434937;18988400
19/12/18;51,799999;52,400002;50,009998;50,009998;36,394272;24414200
20/12/18;50,740002;51,169998;49,450001;49,810001;36,248718;25323700
21/12/18;50,279999;51,25;50,220001;50,860001;37,012856;28272600
26/12/18;50,110001;50,700001;49,400002;50,439999;36,707195;13356400
27/12/18;50,099998;50,389999;49,279999;49,5;36,023121;14332000
28/12/18;50,310001;51,200001;50,25;51;37,114735;11914300
02/01/19;50,009998;51,369999;49,790001;51,09;37,180233;17319600
